# ra decl redshift T90
9.523896635650319631e-01 1.038135491665563181e+00 1.093799012146779326e+00 4.189614860852650224e+01
4.096809108460423565e-01 1.371054341639617924e+00 5.513069050556885786e-01 1.376845730077096164e+01
1.605520791090769395e+00 -1.321629122640212428e-02 3.506387884022903467e-01 3.266275186571993561e-01
1.115935880915419398e+00 2.357667033587540206e-01 1.164651913238324177e+00 1.700150937193002392e+02
2.290181246671799453e+00 3.821889216005083106e-02 3.683616832681947950e-01 3.967505740281309556e+01
-3.642128059710593724e-01 1.285926247571156922e-01 1.557355229026746501e+00 9.053501878246423829e+00
7.158723544103537950e-01 1.213594836169923363e+00 1.825872100647071061e+00 7.452985567761082564e+01
-8.427880884213251322e-01 -7.043495844086035129e-01 2.095618519622993059e+00 1.960702677055644472e+01
-4.624992768767757223e-01 1.102730471835417642e-01 1.250892392757229965e+00 5.731916400619530005e-01
1.685025101494288080e+00 6.608156644290273940e-01 7.069250390967319220e+00 1.749911067215019322e+00
-2.010097311619211347e+00 -7.922434958088064860e-01 6.683973548044244595e+00 6.644458009623761541e+01
-2.531684751490097529e-01 9.057503422895288869e-01 3.280708681605885024e-01 5.907768805804077061e+01
2.446398296990105692e+00 6.093829714376364746e-03 2.641739703633888325e+00 2.039245684478758847e+01
1.375983934217817894e-01 1.506075093709831891e-01 2.439835544019433478e+00 8.612820339263411995e+01
-2.509098659810116594e+00 5.273692796815414585e-01 1.201392946552545915e+00 3.548736326941961039e+01
-1.721441271330643064e+00 -8.530312627677142379e-01 2.989061394545221795e+00 1.872676969804757618e+02
-1.771173390995628427e+00 -4.798867901078590070e-01 4.095276738269836847e-01 1.397808350811340574e+02
2.482476507898367046e+00 -5.577794751537944462e-01 3.510570798433749307e+00 2.167734923536820446e+01
-1.536910598467243982e+00 1.960500181844529732e-01 9.898225746147517115e-03 1.575765128728725095e+01
6.809729925149418106e-01 8.249509444791049972e-01 5.049620680842456188e+00 1.117594316269202714e+01
-1.479289610556804302e-01 4.302259253228289393e-01 6.019277612938995770e-01 4.244317709309703424e-01
-6.660282173962729368e-01 -1.001791036124260181e-01 1.232185884222213312e+00 2.252074702888711499e+02
-1.286051112920068018e+00 -5.481008953681085760e-01 1.280315848483807972e+00 1.258984694575182495e+01
1.958603118419320444e+00 4.369843911711623341e-01 1.203521948317368917e+00 1.208305076876846762e+01
1.108722142341654449e+00 1.079159734423709605e+00 2.673889007085391345e+00 1.572357549679585276e+01
4.594517830457215402e-01 1.062250305775627623e+00 1.689444161901763886e-01 1.243825009003732163e+02
-1.682397890077491187e+00 1.345334689824446706e+00 2.402320974262346809e+00 2.911623041662496902e+01
-2.764400317798400675e+00 -5.268430495473596098e-01 3.672116002938488943e+00 1.880023829699049287e+01
2.780821934726165345e+00 -5.786272847256449525e-01 1.434990100010925307e+00 4.549003980156511417e+00
-2.142512938991528504e+00 -8.384410573405420841e-01 1.406403675696917821e+00 2.355051568629650305e+01
-2.938602934328471861e+00 5.885977571243932172e-01 2.981651983188100097e+00 1.103264685273677088e+02
2.587277076635079887e+00 1.042406875775778952e+00 1.326836427698818266e+00 3.756709596266149020e+01
-2.657728080196172460e+00 3.636018871528642338e-01 2.137288750026951067e+00 3.571351478317564698e+01
-1.487320637477599128e+00 -6.459287668268922644e-01 1.778061531142804963e+00 1.104533586373701155e+02
-3.325864318836105338e-01 8.676320425391606528e-02 1.131450250605207097e+00 3.011038532183290428e+01
2.062934259876278542e+00 -3.682263464373294326e-01 8.071516114744828885e-01 2.222385200194626487e-01
-2.466073397334568540e+00 -1.345023700999661287e-01 4.729489508065516379e-01 3.232625918737888071e+01
-1.235897974686982259e+00 6.556737992449244989e-02 1.160925545343719056e+00 7.712341757001617282e+01
2.836687521415194979e+00 -1.150921289480101029e-01 3.082622217197801273e+00 3.011434533729525631e-01
-1.030234959588442134e+00 1.464978520191243805e-01 5.996174668370657379e-01 1.624995305858492856e+01
3.007084475100819887e+00 -5.892567331382410067e-01 1.427608790948512452e+00 4.934676269579441055e+01
-1.576416427376130525e+00 -1.367036793011617846e+00 2.118663157950256615e+00 2.514412921243049226e+01
4.964214183967877725e-01 -9.147920956559094652e-01 9.287823500925962428e-01 5.039689062056346813e+01
-2.975106897966344643e+00 7.230822116079095307e-01 5.143523981302794645e+00 3.387977748226798269e+01
2.386387487007151531e+00 2.459636540727583032e-01 2.615793558341047209e+00 2.179728604335358355e+01
6.966708145322448864e-01 5.817349876235765604e-01 1.712647707160394273e+00 4.848930180948960356e+01
2.591709804312737564e+00 5.178442318246486709e-01 5.487775373409020663e-01 2.569095988471148075e+02
2.675393704551170426e+00 -5.831563479276210549e-01 7.943018897916789278e-01 1.033079243574564146e+02
-5.203851761955075039e-01 6.272800408019915674e-02 7.088453288156514320e-01 2.947381136940349222e+01
2.106627554993175444e+00 8.347794100705365761e-01 1.870862850323681714e+00 1.873466671703932551e+00
-1.327318112808229533e-01 -2.770478957423543331e-01 5.057248840106559618e-01 4.048179602636881924e+01
5.275351583198526484e-01 -3.520689653331853797e-01 1.938914797917173083e-01 3.233124173878752572e+01
-2.399454285288673758e-02 -2.373775278722504989e-01 4.907265272574313109e+00 3.787264983350740977e+01
-5.880432367017579542e-01 1.553173016906399598e-02 1.386571100643665400e+00 1.406375958123572900e+01
2.477157377499356716e+00 -1.127835576125841399e+00 1.194926049508291399e+00 1.160702182588150180e+02
2.144427873236820492e+00 -4.060174134134634794e-01 3.552633959508467998e-02 1.328664969327812351e+01
